Time Stamp,Step,Status,Prog Time,Step Time,Cycle,Cycle Level,Procedure,Voltage,Current,Temperature,Capacity,WhAccu,Cnt,
10/28/2018 1:48:59 AM,28,DCH,69:39:56.682,00:01:00.002,0,0,LG_HG2_NN_Char,4.10828,-1.49925,23.97615,0.16524,0.78937,14.00000,
10/28/2018 1:49:59 AM,28,DCH,69:40:56.682,00:02:00.002,0,0,LG_HG2_NN_Char,4.08890,-1.49925,23.97615,0.14027,0.68704,14.00000,
10/28/2018 1:50:59 AM,28,DCH,69:41:56.682,00:03:00.002,0,0,LG_HG2_NN_Char,4.07508,-1.49925,23.97615,0.11530,0.58512,14.00000,
10/28/2018 1:51:59 AM,28,DCH,69:42:56.681,00:04:00.001,0,0,LG_HG2_NN_Char,4.06429,-1.49925,23.97615,0.09033,0.48351,14.00000,
10/28/2018 1:52:59 AM,28,DCH,69:43:56.681,00:05:00.001,0,0,LG_HG2_NN_Char,4.05569,-1.49670,24.08130,0.06536,0.38213,14.00000,
10/28/2018 1:53:59 AM,28,DCH,69:44:56.683,00:06:00.003,0,0,LG_HG2_NN_Char,4.04861,-1.49670,23.97615,0.04038,0.28091,14.00000,
10/28/2018 1:54:59 AM,28,DCH,69:45:56.684,00:07:00.004,0,0,LG_HG2_NN_Char,4.04271,-1.49670,23.97615,0.01542,0.17992,14.00000,
10/28/2018 1:55:59 AM,28,DCH,69:46:56.682,00:08:00.002,0,0,LG_HG2_NN_Char,4.03749,-1.49925,23.97615,-0.00956,0.07901,14.00000,
10/28/2018 1:56:59 AM,28,DCH,69:47:56.681,00:09:00.001,0,0,LG_HG2_NN_Char,4.03260,-1.49925,24.08130,-0.03453,-0.02175,14.00000,
10/28/2018 1:57:59 AM,28,DCH,69:48:56.681,00:10:00.001,0,0,LG_HG2_NN_Char,4.02822,-1.49925,23.97615,-0.05950,-0.12239,14.00000,
10/28/2018 1:58:59 AM,28,DCH,69:49:56.682,00:11:00.002,0,0,LG_HG2_NN_Char,4.02383,-1.49670,23.97615,-0.08447,-0.22293,14.00000,
10/28/2018 1:59:59 AM,28,DCH,69:50:56.682,00:12:00.002,0,0,LG_HG2_NN_Char,4.01945,-1.49670,24.08130,-0.10945,-0.32336,14.00000,
10/28/2018 2:00:59 AM,28,DCH,69:51:56.681,00:13:00.001,0,0,LG_HG2_NN_Char,4.01507,-1.49670,23.97615,-0.13441,-0.42365,14.00000,
10/28/2018 2:01:59 AM,28,DCH,69:52:56.682,00:14:00.002,0,0,LG_HG2_NN_Char,4.01052,-1.49670,23.97615,-0.15938,-0.52384,14.00000,
10/28/2018 2:02:59 AM,28,DCH,69:53:56.682,00:15:00.002,0,0,LG_HG2_NN_Char,4.00563,-1.49925,23.97615,-0.18435,-0.62393,14.00000,
10/28/2018 2:03:59 AM,28,DCH,69:54:56.682,00:16:00.002,0,0,LG_HG2_NN_Char,4.00040,-1.49670,24.08130,-0.20932,-0.72389,14.00000,
10/28/2018 2:04:59 AM,28,DCH,69:55:56.681,00:17:00.001,0,0,LG_HG2_NN_Char,3.99467,-1.49670,24.08130,-0.23430,-0.82372,14.00000,
10/28/2018 2:05:59 AM,28,DCH,69:56:56.682,00:18:00.002,0,0,LG_HG2_NN_Char,3.98810,-1.49925,24.08130,-0.25927,-0.92338,14.00000,
10/28/2018 2:06:59 AM,28,DCH,69:57:56.682,00:19:00.002,0,0,LG_HG2_NN_Char,3.98051,-1.49925,23.97615,-0.28424,-1.02288,14.00000,
10/28/2018 2:07:59 AM,28,DCH,69:58:56.682,00:20:00.002,0,0,LG_HG2_NN_Char,3.97209,-1.49670,23.87099,-0.30921,-1.12216,14.00000,
10/28/2018 2:08:59 AM,28,DCH,69:59:56.683,00:21:00.003,0,0,LG_HG2_NN_Char,3.96315,-1.49925,24.08130,-0.33418,-1.22126,14.00000,
10/28/2018 2:09:59 AM,28,DCH,70:00:56.681,00:22:00.001,0,0,LG_HG2_NN_Char,3.95371,-1.49925,24.18646,-0.35916,-1.32012,14.00000,
10/28/2018 2:10:59 AM,28,DCH,70:01:56.683,00:23:00.003,0,0,LG_HG2_NN_Char,3.94394,-1.49670,24.08130,-0.38412,-1.41871,14.00000,
10/28/2018 2:11:59 AM,28,DCH,70:02:56.681,00:24:00.001,0,0,LG_HG2_NN_Char,3.93382,-1.49925,23.87099,-0.40910,-1.51708,14.00000,
10/28/2018 2:12:59 AM,28,DCH,70:03:56.682,00:25:00.002,0,0,LG_HG2_NN_Char,3.92371,-1.49925,23.97615,-0.43407,-1.61519,14.00000,
10/28/2018 2:13:59 AM,28,DCH,70:04:56.683,00:26:00.003,0,0,LG_HG2_NN_Char,3.91360,-1.49925,24.29162,-0.45904,-1.71306,14.00000,
10/28/2018 2:14:59 AM,28,DCH,70:05:56.683,00:27:00.003,0,0,LG_HG2_NN_Char,3.90382,-1.49925,24.29162,-0.48401,-1.81065,14.00000,
10/28/2018 2:15:59 AM,28,DCH,70:06:56.682,00:28:00.002,0,0,LG_HG2_NN_Char,3.89421,-1.49670,23.97615,-0.50899,-1.90802,14.00000,
10/28/2018 2:16:59 AM,28,DCH,70:07:56.681,00:29:00.001,0,0,LG_HG2_NN_Char,3.88477,-1.49670,23.87099,-0.53395,-2.00513,14.00000,
10/28/2018 2:17:59 AM,28,DCH,70:08:56.681,00:30:00.001,0,0,LG_HG2_NN_Char,3.87567,-1.49925,23.97615,-0.55893,-2.10203,14.00000,
10/28/2018 2:18:59 AM,28,DCH,70:09:56.682,00:31:00.002,0,0,LG_HG2_NN_Char,3.86691,-1.49670,24.29162,-0.58390,-2.19870,14.00000,
10/28/2018 2:19:59 AM,28,DCH,70:10:56.684,00:32:00.004,0,0,LG_HG2_NN_Char,3.85865,-1.49670,24.18646,-0.60887,-2.29515,14.00000,
